ELBO, KL, Logp, SEM, Encoder Time, Decoder Time, Backward Time 
-79.4948403279,2.42353932548,-77.4854454216,0.0508060567421,0.0190830571311,0.00601103759947,0.0339559713999
-18.3178042673,10.0110828725,-10.1061893412,0.0340328577647,0.00336547124953,0.0125788677306,0.0241619518825
2.23759916938,16.8958340438,16.0496504904,0.0370026516629,0.00343101365226,0.0130148104259,0.0474861462911
7.22787366403,23.7542619682,26.828943812,0.0374576938145,0.00343143372309,0.0128357183366,0.0245991093772
9.45653462117,31.1171251511,35.4526593853,0.0392641585581,0.00360143752325,0.0235278947013,0.0247420242855
10.2164332206,37.699530718,42.0678269021,0.0412257538372,0.00350244839986,0.0243350948606,0.00258374214172
8.33467824307,40.8768702434,43.2823303338,0.0392153974638,0.00348293213617,0.0124521936689,0.0232346739088
15.1804217555,38.336028745,48.2361889678,0.0337684040362,0.00408487092881,0.0134157396498,0.00145097005935
18.6650070521,38.3771184117,51.6567221273,0.0306625586843,0.00349565914699,0.0132860229129,0.0228406815302
21.7795299516,37.4617547561,54.1001319748,0.0309805659188,0.00415708905175,0.0144900651205,0.0241990543547
17.7812234376,36.4397102898,49.2653339033,0.0344344913966,0.00373692739578,0.0115170932951,0.0223619143168
30.232281835,35.1934945063,60.8716533377,0.0293285401632,0.0041408311753,0.0128245353699,-0.00047432808649
33.3719045153,36.6315266687,64.9267428537,0.0320946762382,0.00347849300929,0.0118120738438,0.0227989809854
30.3625941664,35.7811991053,61.2276699621,0.0307126988505,0.00378501982916,0.0256796904973,0.0212643600646
29.2506819671,33.9517826301,58.7671900657,0.0286131135125,0.00375274249486,0.0125765800476,0.0230852649325
30.5209584772,33.2345160915,59.5808132909,0.0303644401337,0.0262154851641,0.012230963934,-0.000411147163028
35.5493270045,32.9216054616,64.3758978601,0.02906932011,0.00374061720712,0.0230528627123,0.0214714095706
35.5057240186,33.2310846311,64.4931731919,0.0300874409478,0.00342609768822,0.0117654913948,0.0241469996316
38.1959318193,32.9285809385,66.9620938155,0.0320185173487,0.00353689420791,0.0122585296631,0.0224036262149
41.2523121926,33.6624980447,70.5173256714,0.034804453174,0.00334975832985,0.0119588999521,0.0228476297288
42.1881147554,33.8336275657,71.5618723079,0.0357807152816,0.00362225941249,0.0123313097727,0.0229654085068
37.6721232633,33.3639009674,66.6414465765,0.0319755460408,0.00364215033395,0.0121780917758,-0.00197301592146
41.7688211876,32.0419519645,69.8693355362,0.0316934695362,0.00320497013274,0.0116241602671,-0.000880207334246
42.3535809296,32.8869899463,71.0232345718,0.0330769003976,0.00347909473238,0.001133952822,0.0251683848245
43.7984953355,32.3166982482,72.0287054325,0.0314652733342,0.00353747322446,0.0113771926789,0.0231558141254
47.4221050265,32.5576215722,75.8427577538,0.0362776957306,0.00355384463356,0.0127543040684,0.0241387571607
48.9436950366,33.6361695698,78.1109857386,0.0390353627012,0.00384527161008,0.0131688401813,0.0472298917316
49.0486298435,33.4119205898,78.0201645696,0.0363917322698,0.00349446705409,0.0129042977378,0.0252570424761
50.8391635252,33.1095113575,79.6068129606,0.0379839577124,0.0035195350647,0.0130980525698,0.02392466863
52.6656595696,33.4003383403,81.6230806288,0.0398836985975,0.00345461709159,0.0130807047799,0.0209585030874
53.1703809118,33.4971265531,82.1910421222,0.0404737682082,0.00356761614482,0.0238391558329,0.0222710768382
51.8558585237,33.3234652963,80.7379709254,0.0394637971543,0.00375735192072,0.0015234152476,0.0229632740929
49.4262684366,32.5601744411,77.7236980456,0.0357022734918,0.00351253009978,0.0124229079201,0.0223654451824
52.7621961278,31.9104881942,80.6546392317,0.0394822406743,0.00339537575131,0.0112908056804,0.0450451714652
54.2262622861,32.4401762509,82.4570887602,0.0389264168669,0.00334136826651,0.0112901642209,0.0217008477166
55.3510843071,32.4030761565,83.5619180355,0.0402756107746,0.0034061613537,0.0237682773953,0.0233974229722
56.2175514371,32.4711688776,84.4673066889,0.0403591302803,0.00386219932919,0.0121860901515,0.0447223981222
55.7862856078,32.5211826522,84.0548991864,0.0393987687004,0.00358548618498,0.0234462022781,0.0216116564614
55.2066676688,32.2136449315,83.2362930507,0.0385174315803,0.00327702930995,0.0116199595588,0.0213563669296
57.0746302797,31.8198088096,84.8318949637,0.0390446907979,0.00349396751041,0.0122740893137,0.0238780975342
56.4353122656,32.1151465775,84.3845338376,0.0391073642216,0.00379034451076,0.00135925270262,0.021549928756
54.0235562055,31.8093389653,81.7454408394,0.0404014587214,0.00355316343762,0.0130627325603,0.0224521160126
49.6605265325,31.2559562973,76.9687996644,0.0354665874041,0.00375278790792,0.0126019659496,0.045321441832
48.7324395542,30.1287202469,75.3001581866,0.0350010415532,0.00323990413121,0.011316940898,0.0250423749288
58.886560802,29.9153573958,85.3403877911,0.0351714774371,0.0038142771948,0.012529077984,0.0226481642042
