{'--batchsize': '8192',
 '--device': '0',
 '--dump-every': '900',
 '--help': False,
 '--nhidden': '256',
 '--nlatent': '16',
 '--runtime': '3600',
 '--time-print': '1',
 '--time-sample': '120',
 '--vae-samples': '10',
 '--vis': None,
 '-o': 'vae_10',
 '<data.mat>': '../data/MSRC12-X-d60.mat'}
Using chainer version 1.22.0
702551 instances, 60 dimensions
256 hidden dimensions
16 latent VAE dimensions
Using 10 VAE samples per instance
Using a batchsize of 8192 instances
   104.0s of 3600.0s  [62] batch 124, E[obj] -20.2555,  9842.56 S/s, 1015808 total
   105.7s of 3600.0s  [63] batch 126, E[obj] -18.4028,  10056.91 S/s, 1032192 total
   107.4s of 3600.0s  [64] batch 128, E[obj] -17.8746,  9771.19 S/s, 1048576 total
   109.0s of 3600.0s  [65] batch 130, E[obj] -21.3695,  9918.86 S/s, 1064960 total
   110.6s of 3600.0s  [66] batch 132, E[obj] -23.6367,  10076.28 S/s, 1081344 total
   112.3s of 3600.0s  [67] batch 134, E[obj] -26.5780,  9760.39 S/s, 1097728 total
   114.0s of 3600.0s  [68] batch 136, E[obj] -27.7075,  9701.11 S/s, 1114112 total
   115.6s of 3600.0s  [69] batch 138, E[obj] -26.4167,  10023.67 S/s, 1130496 total
   117.3s of 3600.0s  [70] batch 140, E[obj] -24.4653,  9679.92 S/s, 1146880 total
   119.0s of 3600.0s  [71] batch 142, E[obj] -27.5880,  9698.48 S/s, 1163264 total
   120.7s of 3600.0s  [72] batch 144, E[obj] -11.6004,  9900.40 S/s, 1179648 total
   # sampling
   122.4s of 3600.0s  [73] batch 146, E[obj] 2.4059,  9549.42 S/s, 1196032 total
   124.0s of 3600.0s  [74] batch 148, E[obj] -14.1631,  10056.76 S/s, 1212416 total
   125.7s of 3600.0s  [75] batch 150, E[obj] -25.4867,  9781.81 S/s, 1228800 total
   127.4s of 3600.0s  [76] batch 152, E[obj] -25.1850,  9752.18 S/s, 1245184 total
   129.0s of 3600.0s  [77] batch 154, E[obj] -23.2645,  9844.86 S/s, 1261568 total
   130.7s of 3600.0s  [78] batch 156, E[obj] -27.0204,  9680.58 S/s, 1277952 total
   132.4s of 3600.0s  [79] batch 158, E[obj] -28.1355,  9719.79 S/s, 1294336 total
   134.1s of 3600.0s  [80] batch 160, E[obj] -29.6269,  9874.06 S/s, 1310720 total
   135.8s of 3600.0s  [81] batch 162, E[obj] -25.1355,  9704.48 S/s, 1327104 total
   137.4s of 3600.0s  [82] batch 164, E[obj] -20.9225,  9771.85 S/s, 1343488 total
   139.1s of 3600.0s  [83] batch 166, E[obj] -20.6394,  9797.51 S/s, 1359872 total
   140.8s of 3600.0s  [84] batch 168, E[obj] -26.7442,  9652.63 S/s, 1376256 total
   142.5s of 3600.0s  [85] batch 170, E[obj] -28.1865,  9779.08 S/s, 1392640 total
   144.1s of 3600.0s  [86] batch 172, E[obj] -22.9737,  9809.43 S/s, 1409024 total
   145.8s of 3600.0s  [87] batch 174, E[obj] -24.5248,  9685.25 S/s, 1425408 total
   147.5s of 3600.0s  [88] batch 176, E[obj] -28.6248,  9785.34 S/s, 1441792 total
   149.2s of 3600.0s  [89] batch 178, E[obj] -23.3242,  9824.14 S/s, 1458176 total
   150.9s of 3600.0s  [90] batch 180, E[obj] -26.6305,  9714.29 S/s, 1474560 total
   152.5s of 3600.0s  [91] batch 182, E[obj] -28.2944,  9870.46 S/s, 1490944 total
   154.2s of 3600.0s  [92] batch 184, E[obj] -24.3678,  9894.66 S/s, 1507328 total
   155.9s of 3600.0s  [93] batch 186, E[obj] -33.5606,  9653.67 S/s, 1523712 total
   157.6s of 3600.0s  [94] batch 188, E[obj] -23.8069,  9698.63 S/s, 1540096 total
   159.2s of 3600.0s  [95] batch 190, E[obj] -28.4460,  9761.39 S/s, 1556480 total
   160.9s of 3600.0s  [96] batch 192, E[obj] -29.0954,  9645.56 S/s, 1572864 total
