Average ELBO, Average KL, Average Logp, SEM, Encoding Time, Decoding Time, Backward Time 
-687.593863645,11.8516540527,-67.2904129028,3.65160903258,0.027696734383,0.0024186202458,0.106602907181
-24.3176357423,13.1862821579,3.92855238914,0.0549214661325,0.00237666992914,0.00231034982772,0.199568986893
-4.87560460709,13.8824100494,32.5083847046,0.0656268483818,0.00241688887278,0.00233240922292,0.182159900665
25.1914670726,14.8434591293,45.9721374512,0.0261667948667,0.00232870238168,0.00225084736234,0.19087100029
22.9537830761,14.4357423782,43.2226028442,0.0369262031181,0.00233665534428,0.00226700305939,0.203395843506
35.4647904795,14.6479730606,50.7524719238,0.0270102560174,0.00235354332697,0.00228009905134,0.20755314827
36.5475579023,15.3647518158,24.6982898712,0.0473937527621,0.00240206718445,0.00231406802223,0.201436042786
32.3851315691,13.2177677155,20.4839439392,0.0383546145145,0.00237915629432,0.00230094364711,0.194015979767
15.1696432882,11.3524065018,39.1978034973,0.0597343479567,0.00237707864671,0.00230849356878,0.213665962219
36.8720993311,12.6317901611,56.6938247681,0.0324733322108,0.00239167894636,0.00231933026087,0.203696966171
44.5849440938,13.5600185394,61.1981239319,0.0357811513893,0.00234805969965,0.0022706361044,0.154765844345
40.5186333664,12.3917446136,61.9906158447,0.0360258806489,0.00232014201936,0.00226512977055,0.196497917175
52.3826852563,13.4336986542,62.6495094299,0.0336766415791,0.00234460263025,0.00226917720976,0.190364122391
51.5005145669,13.4253425598,1.66359329224,0.0430756097304,0.0023752621242,0.00229898520878,0.182806968689
52.9608743272,13.1947450638,74.2096328735,0.0415617965522,0.00236181418101,0.00230707441057,0.189563035965
40.0070677658,13.0672512054,59.6982498169,0.0459108204621,0.0023303145454,0.00227763539269,0.201740026474
54.3026975462,13.135474205,68.6202774048,0.0323392292897,0.002344420978,0.00227622191111,0.204345941544
51.9133149901,12.9055900574,63.6475791931,0.0421725237039,0.00235119320097,0.00227308840979,0.144996881485
53.2071127785,13.4958992004,-10.1517295837,0.0447630872198,0.00238834108625,0.00233317556835,0.189102172852
27.7974571571,11.5553321838,64.8690948486,0.064538733052,0.00239475568136,0.00231794516246,0.189011096954
48.2368370028,12.7696676254,74.071685791,0.039440677975,0.00241602602459,0.00233843780699,0.198812007904
61.5937217974,13.1252965927,80.8874282837,0.0325343554362,0.0023417245774,0.00226963701702,0.128647089005
54.191687966,13.2476301193,56.9168357849,0.0412158256316,0.00233042240143,0.00227056230818,0.205294132233
59.8326990602,12.7342338562,83.3690490723,0.0333312160464,0.00234811646598,0.00228066671462,0.190999984741
58.3389751176,13.3943710327,80.287979126,0.040976729182,0.00233366943541,0.00226831436157,0.134718894958
61.0219612125,13.4184246063,84.0099563599,0.0383201407777,0.00237313338688,0.00231032712119,0.196380853653
59.0865245988,12.935628891,75.9478149414,0.0410645269318,0.00239938213712,0.00230986731393,0.196058988571
60.1701576133,12.5863161087,68.0950622559,0.0364652768242,0.00238536653065,0.00231268292382,0.197690963745
69.0541178603,13.6235971451,46.0394935608,0.036415179956,0.00239255314782,0.00231749670846,0.20215010643
63.5925469301,13.1616792679,83.9324645996,0.0368499244576,0.00245708510989,0.0024702946345,0.149415969849
73.1831617572,14.0172262192,87.7589797974,0.0340223441854,0.00242183889662,0.0023630573636,0.199271917343
65.6105657629,13.3091249466,89.4941558838,0.0403181071343,0.00239482380095,0.00231692904518,0.195751905441
68.7527387979,13.4187698364,92.8039627075,0.0352116760605,0.00232756705511,0.00226410797664,0.179854154587
68.870154627,13.5236139297,85.2345199585,0.0391887579342,0.00232755570185,0.00227577913375,0.189342021942
74.4449936919,14.0805969238,93.9272613525,0.0364759240632,0.00234587419601,0.00226768993196,0.192771196365
72.4403708973,14.430721283,76.8873901367,0.0474722705112,0.00237967286791,0.00232395104,0.190906047821
72.6481683925,13.8693170547,80.5625915527,0.0369496253921,0.00236947763534,0.00231061662946,0.190470933914
73.2684323616,13.7127895355,91.8854827881,0.0387559462181,0.00237895193554,0.00231386934008,0.188981056213
71.882357329,13.5028753281,90.1567687988,0.0412363587119,0.0023828177225,0.00230880010696,0.16774392128
78.5802735487,13.9782514572,94.1204452515,0.0354827530462,0.00238536085401,0.00231353441874,0.1985912323
76.9194884192,13.9501152039,95.7256164551,0.0367912993743,0.00236723536537,0.00231134323847,0.205140113831
82.1338607599,14.602391243,85.7102584839,0.0396558560255,0.00236127490089,0.00228137629373,0.204743146896
73.3232249132,13.577922821,95.138671875,0.0407769442068,0.00234502837771,0.00228237538111,0.196269035339
73.3686196249,13.3744163513,93.8473815918,0.0427825425682,0.00232403618949,0.00226171243758,0.189539194107
83.3059617006,14.8602466583,105.580291748,0.0414309900003,0.00235574018388,0.00228802930741,0.180505037308
79.7689510081,14.1249408722,82.9585494995,0.0447100027774,0.00238076278142,0.00230885119665,0.193582773209
81.0779100257,14.2857961655,96.6844558716,0.0371097387614,0.00238102390653,0.00232370126815,0.187299966812
86.0375098671,14.723405838,99.6008834839,0.038945948965,0.00235964003063,0.00231461297898,0.167031049728
83.7473260926,14.8035840988,82.8102035522,0.0433824364328,0.00239670276642,0.00231523173196,0.192055940628
83.0591336731,14.3834457397,104.19103241,0.0386643385603,0.00237943444933,0.00232164065043,0.189340114594
86.282704419,14.9351177216,95.2093505859,0.0427091358741,0.00233204591842,0.00227765809922,0.197004079819
85.5358488782,15.0291175842,104.195632935,0.0400087309525,0.00235805625007,0.00228569621132,0.206299066544
82.0399071649,14.6258049011,99.022895813,0.0451813867604,0.00233486720494,0.00227090858278,0.197031974792
81.5822895907,14.306063652,84.6634216309,0.040903813697,0.00233617283049,0.00226961998712,0.207457065582
82.8896227043,14.7689247131,96.0227737427,0.0422046857413,0.0023657197044,0.00230885687329,0.181144952774
89.0736108969,15.5041189194,113.708763123,0.0416784060568,0.00237708999997,0.00231827440716,0.206049919128
82.7196906433,14.1533737183,98.8558502197,0.0432984943696,0.00242731117067,0.00236431189946,0.157733917236
88.2102952561,14.8810052872,106.131286621,0.038967966775,0.00236438569568,0.00231054850987,0.182454824448
84.0096708798,14.3361349106,105.174102783,0.0421363492666,0.00240696611859,0.00233327774774,0.196371078491
91.4249541218,15.4097661972,107.203369141,0.0396364042318,0.00232404754275,0.00225984482538,0.184319972992
92.075078224,15.438170433,111.738647461,0.0408803228682,0.00233646233877,0.00228152388618,0.197744131088
82.501309098,14.4065170288,92.3027114868,0.0444443355389,0.00237203779675,0.00230940183004,0.198210954666
88.2169729114,14.8697061539,108.777450562,0.0396122937787,0.00237155528296,0.00230928262075,0.171397924423
88.2332947635,14.7261428833,106.843063354,0.0416217070991,0.00239116237277,0.00231372174763,0.18154501915
88.5996051438,14.7504043579,108.268547058,0.0393129326716,0.00238042218345,0.00232089701153,0.191962957382
90.556829492,15.0291070938,91.7350769043,0.0434823588095,0.00237073784783,0.00231703122457,0.193235874176
90.537920456,15.1019773483,107.990280151,0.0413716250791,0.00234891119457,0.00227844715118,0.158966064453
91.1139655266,14.829990387,107.59740448,0.0405883945931,0.00234080496288,0.00227978683653,0.19721698761
