Average ELBO, Average KL, Average Logp, SEM, Encoding Time, Decoding Time, Backward Time 
-23.828948541,5.13209629059,-14.6207675934,0.0691415378168,0.0322532597042,0.00266788687025,0.250370979309
16.3383710639,15.1662731171,34.8913459778,0.0397090746983,0.00276459966387,0.00258546783811,0.294373035431
26.5180271655,12.3296546936,40.6981201172,0.0355332169786,0.00388835157667,0.00367472852979,0.273219108582
37.3480661391,13.5050020218,32.2746276855,0.0307044460227,0.00277902398791,0.00259023620969,0.259032011032
26.2403589853,12.14523983,38.2781829834,0.048129607526,0.00273281619662,0.00258391811734,0.281536102295
28.1438245556,10.7525310516,47.0595664978,0.0573431071679,0.00278280462537,0.00261655307951,0.254365205765
36.2464441443,10.7421894073,38.2402076721,0.0426551977254,0.00275276388441,0.00259623073396,0.276281833649
45.9669450651,13.3250265121,52.6327438354,0.0320484871556,0.00274756976536,0.00259892713456,0.286634922028
48.7370744033,12.9674940109,55.1626434326,0.0342674581958,0.00277265480586,0.00259787695748,0.242814064026
45.7859105661,11.7990732193,62.0291366577,0.0322763148894,0.00284391357785,0.00268031301953,0.289077043533
50.7399205833,11.6904735565,55.8709716797,0.0349793929321,0.00282841069358,0.00277898425148,0.28283405304
53.086024489,11.5697851181,12.2779636383,0.0396283590874,0.00290165628706,0.00263712519691,0.292209148407
49.8521122928,13.4506244659,74.036026001,0.0408109474651,0.00354274113973,0.00321992238363,0.275460958481
59.4086322051,12.3396730423,67.9290542603,0.0376053476272,0.0037222192401,0.0035921278454,0.285159826279
53.1251128879,10.8628101349,17.5069885254,0.0541664154837,0.00386999902271,0.00346216133663,0.283741950989
52.1832213988,12.1567440033,66.167098999,0.041261804015,0.00352255503337,0.00343029839652,0.284924030304
59.0112917843,11.9482059479,64.3177490234,0.0361070966017,0.00268847034091,0.00253331093561,0.250000953674
57.0962504255,12.0682525635,42.995880127,0.0363718475928,0.00275426819211,0.00258777822767,0.278507947922
53.4558759842,12.7990226746,71.7672271729,0.0392349036162,0.00256065527598,0.0024878240767,0.267370939255
63.6013553899,12.0300178528,68.6411590576,0.0397143173805,0.00271417413439,0.00254483450027,0.282554149628
62.9319248752,12.7329101562,58.8260345459,0.0357454867501,0.00279143310729,0.00262936523982,0.281862020493
62.8557462206,12.1751708984,68.1193161011,0.0359967340497,0.00284163157145,0.00271475315094,0.281905174255
51.204381713,11.1164970398,60.8766326904,0.0517682363174,0.00272879714058,0.00257703803834,0.261641025543
66.8340164776,13.4084444046,75.5148773193,0.0361983328383,0.00266736462003,0.00254674752553,0.293421983719
76.7885445991,13.5701808929,82.6406860352,0.0391372140495,0.00271188077473,0.00254840510232,0.280444145203
56.0453723453,12.4814853668,64.9003295898,0.0555252051496,0.0027133112862,0.0025482972463,0.254940986633
62.5758070394,13.2139186859,69.7313842773,0.0474483107738,0.00270192396073,0.00256135917845,0.269386053085
63.9000874147,11.7462730408,81.459815979,0.0417894762194,0.00279261384692,0.0025885445731,0.280483961105
59.0605878562,12.4434375763,80.7429351807,0.0426297185047,0.00347757339478,0.00329544430687,0.270095825195
72.3354721454,12.153213501,77.0101470947,0.0376146286018,0.00401228382474,0.00395806062789,0.266504049301
72.7554490782,13.3805427551,91.2128372192,0.0361430442061,0.00426911740076,0.00395321278345,0.239248991013
77.6107234697,13.4799823761,68.9467468262,0.036688090547,0.00315189929236,0.00282567455655,0.216860055923
63.4895544192,13.1941680908,81.1359100342,0.0420417883465,0.00281012625921,0.00260801542373,0.255247116089
71.7706180161,12.6000881195,50.7648544312,0.0447592538018,0.00279969828469,0.00260163488842,0.272059202194
66.7650458679,12.3195743561,60.0476379395,0.0402915676303,0.00280393305279,0.00259313696907,0.246778011322
78.8152007229,13.7940988541,92.8519973755,0.0362525866684,0.00283232757023,0.00267583983285,0.263942956924
68.8037264014,11.2808971405,78.6801452637,0.0519394492407,0.00299155712128,0.00281408854893,0.262544155121
59.3110190075,10.9408969879,44.9212760925,0.0456765604737,0.00274262541816,0.00255306561788,0.233774900436
68.1105077312,12.8734846115,83.5345458984,0.0365807208881,0.00280327456338,0.00263673350925,0.251028060913
67.1611543492,10.8576192856,80.4991760254,0.0432747361449,0.00280287719908,0.00272804214841,0.188096046448
73.1783637323,12.9207191467,76.099609375,0.037751161785,0.00268883364541,0.00254442010607,0.278164863586
78.1446753543,13.7164363861,71.6967010498,0.0366197303884,0.00303372314998,0.0027878397987,0.240458011627
69.3587778135,11.074174881,75.2682342529,0.0449081274071,0.00275370620546,0.00257746946244,0.23926615715
79.7350036696,14.4618721008,99.0477981567,0.0382704745511,0.0028186979748,0.00263559818268,0.225978136063
78.0822634299,12.4708013535,66.5165252686,0.0441373388595,0.00275792394366,0.00259476616269,0.256397008896
78.0704048022,13.2496728897,60.3914909363,0.0376376028119,0.0033646878742,0.00313533487774,0.198657989502
65.0962690184,11.6787586212,83.984588623,0.046899525574,0.00350664343153,0.0033609696797,0.26498913765
78.8316301524,13.0390281677,65.4199676514,0.0403534542117,0.00324919110253,0.00306865147182,0.271691083908
82.1275725251,13.9921979904,96.6428527832,0.0375694433951,0.00320557185582,0.00307223342714,0.278438806534
86.0577156634,13.7406511307,93.3808746338,0.0389151557627,0.00285106613522,0.00265045960744,0.260866165161
87.1287751792,14.6286029816,92.0781555176,0.0390945789255,0.00363639990489,0.00340596267155,0.296758890152
84.7386612385,13.6286334991,90.3761520386,0.0386443209962,0.00344720908574,0.00321632907504,0.278789997101
78.0020107091,12.4696483612,85.2591171265,0.0411374016157,0.0039073910032,0.00373974300566,0.275337934494
85.5820811458,14.4617986679,105.302902222,0.0393930392973,0.00291984421866,0.0027657804035,0.295058012009
90.1060725636,14.2403287888,95.8775939941,0.0394147408895,0.00291436059134,0.00265072073255,0.273638963699
93.8223743883,15.1054782867,105.921440125,0.0397183643991,0.00277733802795,0.0025896855763,0.281500101089
96.2294680497,15.5638780594,104.425491333,0.040950838315,0.00275740169343,0.00263054030282,0.279127120972
88.7726489768,14.6699123383,99.1122894287,0.0403861189049,0.00274896621704,0.00259469236646,0.287409067154
85.7068324574,14.1345119476,92.1260528564,0.039094166178,0.00268622239431,0.00255100500016,0.258689880371
80.982527542,13.1925907135,89.1403198242,0.0433330000208,0.00269134271713,0.00250116984049,0.268335103989
83.2462339152,14.1807479858,65.3067321777,0.04123225531,0.00271428199041,0.00254881949652,0.265967130661
81.3035861621,14.0011968613,98.4505386353,0.0392682490647,0.0026950211752,0.00255181108202,0.264893054962
95.9188819361,15.407207489,114.138214111,0.0409845165757,0.00277775809878,0.00266394728706,0.275125980377
93.8697662632,14.6341114044,100.987045288,0.0399999722252,0.00274932952154,0.00253781250545,0.265101909637
93.3861712783,14.326716423,95.8519592285,0.0393236552612,0.00284014997028,0.0026725814456,0.251716852188
77.8817854678,12.7969865799,96.1029052734,0.048885818221,0.00274261974153,0.0026243641263,0.290289878845
85.0875882606,13.8581008911,78.1646728516,0.0418122251683,0.00272862684159,0.00254927930378,0.243176937103
77.9921326128,14.0100440979,101.19418335,0.0419614492937,0.00269154139927,0.00252844606127,0.283017873764
97.4380875697,15.2544736862,92.1245727539,0.0411498041725,0.00276580878666,0.00260818004608,0.28392291069
91.9353627658,14.292298317,103.588989258,0.0397015239584,0.00265989417122,0.0025471392132,0.269441843033
95.1983093185,14.3925704956,109.124801636,0.0400507887149,0.00276192596981,0.00262703214373,0.283772945404
83.1034844065,13.441488266,102.846603394,0.0486065865767,0.00282107080732,0.00264052549998,0.270771980286
94.9617537558,14.6703453064,103.090072632,0.0386699972963,0.00330345971244,0.00329279331934,0.233050107956
90.9918780786,14.642033577,65.5557861328,0.0435083997779,0.00369538012005,0.00329598358699,0.252292871475
86.6516364205,13.5485887527,81.5003814697,0.0403456795272,0.00385845275152,0.00352761291322,0.285037994385
88.1336661317,14.674946785,95.8876724243,0.0382695450071,0.00294922079359,0.00273707934788,0.276379108429
88.3801497853,14.2739629745,105.028366089,0.0405665084067,0.00302113237835,0.00276290235065,0.290149927139
90.1262692173,13.6627655029,82.6627960205,0.0411025976048,0.00282481738499,0.00259448233105,0.252724170685
87.896183959,14.2265033722,99.3573608398,0.0405242242437,0.00281237420582,0.00263276554289,0.288671970367
97.1864367957,14.5988616943,106.976531982,0.0401049754891,0.00295973959423,0.00267511322385,0.266874074936
92.9010510998,14.2036037445,96.0773925781,0.0413087042,0.00278375262306,0.00261842636835,0.292906045914
93.8095111315,14.7701568604,105.626953125,0.0386484334377,0.00290195147196,0.00262278034574,0.231396913528
91.6604353419,13.3580760956,81.3063354492,0.044229171125,0.00278223128546,0.00263132935479,0.241435050964
89.9996167434,14.5819473267,97.7424926758,0.0404473551741,0.0027738185156,0.00265324115753,0.262228965759
98.0069405972,15.9419059753,117.850814819,0.0400075089545,0.00272183758872,0.00256578127543,0.26432299614
94.4767926731,14.0299053192,98.1338806152,0.0459593363373,0.00266306173234,0.00253627981458,0.245522022247
94.6675115484,14.8487567902,113.465332031,0.039833047937,0.00283724353427,0.0027407123929,0.237618923187
95.6794250705,15.21189785,109.913742065,0.0433378552861,0.00267431849525,0.00255709035056,0.259516954422
100.170737361,15.003235817,105.417449951,0.0452347179324,0.00270367804028,0.00256868203481,0.247680902481
96.4866888561,16.0846996307,124.816505432,0.041494193095,0.00281798271906,0.0026958159038,0.251867771149
106.966994777,15.8282432556,117.930755615,0.0418648199914,0.00273789110638,0.00259473777953,0.241056919098
