ELBO, KL, Logp, SEM, Encoder Time, Decoder Time, Backward Time 
-29.7693273699,7.87978379701,-21.8895435721,0.0641698055074,0.0210176252183,0.006487028939380.483972118014
-6.12931523951,11.5918676176,5.46255237724,0.04167361654,0.00252735614777,0.00471907854080.488385995229
11.6443990082,10.8667031456,22.5111021544,0.0324190009697,0.00255802699498,0.004822220121110.484813803718
23.2719563112,13.6934527104,36.9654090208,0.0234365248244,0.00259515217372,0.005008024828770.495362798373
22.4090956959,13.9649159625,36.3740116572,0.0433685583219,0.00258610362098,0.004849076271060.488003509385
24.4086433271,12.5998889835,37.0085323112,0.0299805604815,0.00259260336558,0.004858876977650.499265784309
24.7152600436,12.7834422125,37.4987022598,0.0377238166007,0.00259694031307,0.005055126689730.489944162823
29.3956216006,13.0993133526,42.4949349517,0.0489682685512,0.00252502305167,0.004745784259980.493205178352
28.9782236089,11.740001339,40.7182249471,0.0297660134479,0.00257005010332,0.00485615503220.487309313956
36.1150914832,12.5612769269,48.6763684111,0.0304443187961,0.00255455289568,0.004921751362940.486271182696
