ELBO, KL, Logp, SEM, Encoder Time, Decoder Time, Backward Time 
-69.8001961731,19.3903005474,-68.602399849,0.0516168911196,0.036635796229,0.00258384432111,0.547488133113
-6.71936844103,30.2525161386,-0.106106025455,0.0350713223156,0.00248566127959,0.00226082688286,0.754927362714
19.7976504148,36.3793558817,31.719099694,0.0359500338741,0.00257956413996,0.00230761369069,0.770854722886
29.4822203151,41.3368784157,47.5300375139,0.0314900615598,0.00267773582822,0.00248535474141,0.782352333977
25.3703978624,40.5586642754,47.4894947327,0.0269489285518,0.00261643954686,0.00229034537361,0.790708598636
27.2316096221,37.3067790929,51.6940167261,0.0250764509638,0.00277312596639,0.00248178413936,0.77314380237
24.8093662406,35.578653835,53.9992337135,0.0261763696525,0.00269749051049,0.00242755526588,0.767156964257
24.1195039728,32.3891838554,54.2510773807,0.0242014374533,0.0025824932825,0.00238186404819,0.779739198231
24.8076189027,29.64741297,54.4338213018,0.0240399639769,0.00264344896589,0.0023368824096,0.785770461673
28.7004196048,28.7684754583,57.4688950629,0.0249784254575,0.00253173283168,0.00228894892193,0.77574585733
32.4260018649,29.2764226807,61.7024245455,0.0277992880293,0.00240647225153,0.00224435897101,0.778653281076
33.0144080117,29.1469392184,62.1613472293,0.027081153056,0.00247807729812,0.00227994010562,0.759992815199
30.2523635191,27.9653002781,58.2176637971,0.0300020291335,0.00258445739746,0.00229364917392,0.777529523486
29.8738300752,26.5347806079,56.4086106834,0.0264546374711,0.00257938248771,0.00229354131789,0.791458152589
35.1130101008,26.0185092515,61.1315193533,0.0275361270552,0.00269531068348,0.00244238263085,0.768702438899
34.2057847859,26.4579373154,60.6637221005,0.0256041260924,0.0026604448046,0.00231400557927,0.775336549396
39.6516441497,26.1333218848,65.7849660336,0.0279110026908,0.00266925493876,0.00239455699921,0.770043157396
40.8750171217,27.4649637949,68.3399809164,0.0302459028047,0.00272867793129,0.00256340276627,0.783697820845
35.3041318751,27.0205193881,62.3246512633,0.0311154847838,0.00263922555106,0.00238494645982,0.781077861786
40.5614262407,25.8844764539,66.4459026937,0.0284356939854,0.00268232254755,0.00226380143847,0.769873176302
41.6690723924,26.3529146,68.0219869929,0.0313308439789,0.00249077024914,0.00228094486963,0.767557677769
43.6966457433,26.520031797,70.2166775392,0.0298024102826,0.00261605353582,0.0023596002942,0.787478083656
42.4594369955,26.090438808,68.549875803,0.0295933985446,0.00240940139407,0.00228033746992,0.788691793169
45.7975668359,25.9214740486,71.7190408865,0.0309716286768,0.00231103670029,0.00222353708176,0.768528620402
45.4171414406,26.5021218059,71.9192632472,0.0331877146224,0.0026532695407,0.00250575088319,0.768556481316
45.3282658163,26.2452842521,71.5735500689,0.031168219877,0.00259090605236,0.00232892944699,0.776291472571
48.2988581698,25.9351973076,74.2340554746,0.0303167869325,0.00258508182707,0.00237398488181,0.783924511501
51.6929154254,26.7259614367,78.4188768614,0.0346501776735,0.00236742837088,0.0022219362713,0.785169976098
53.1813141224,27.5526569034,80.7339710265,0.0371730569948,0.00243172191438,0.00223733129955,0.774766365687
54.6359801132,27.4025168566,82.0384969684,0.0367482867423,0.00248693284534,0.00227173737117,0.766074952625
53.6416410539,27.3125021774,80.9541432347,0.0358880682053,0.0024661790757,0.00226205303555,0.77661329224
48.7075095814,26.7530916339,75.4606012158,0.0367116844289,0.0025025889987,0.00232208342779,0.779656580516
48.3063145108,25.4946430149,73.8009575252,0.0308892416606,0.00244163331531,0.00228339717502,0.782210134325
51.3493574699,25.2228063611,76.5721638332,0.0347931493198,0.00248295920236,0.0022923151652,0.776028099514
52.4355918092,25.6610233029,78.0966151129,0.0317242761659,0.00244908105759,0.00223938056401,0.76431347075
53.2755388174,25.4858270277,78.7613658426,0.0332004598253,0.00260386012849,0.00242301395961,0.788811524709
55.6829719577,26.2366053588,81.9195773185,0.0362347428412,0.00262258166359,0.00240461031596,0.791123878388
50.2045238127,26.1845924897,76.3891163028,0.0319858956098,0.00245120411827,0.00227399099441,0.772283213479
55.2617454407,25.3347064457,80.5964518857,0.0333843496868,0.00246809777759,0.00230377061026,0.764487221127
57.6376622694,25.9668612205,83.6045234905,0.0345170964294,0.00267426172892,0.00235046091534,0.770146608353
58.8118107119,26.5410108395,85.3528215467,0.0347167415379,0.00242044812157,0.0022554056985,0.79204537755
55.9018949699,26.5220024189,82.4238973889,0.0330080169491,0.00255928720747,0.00233332316081,0.772857234592
59.5963321714,26.1313844026,85.7277165724,0.0345661210347,0.00250243005298,0.00229872976031,0.776442232586
63.4748131246,27.1613920845,90.6362052155,0.0399370098211,0.0026901108878,0.00242926393236,0.76596219199
63.1847223022,27.7359645193,90.9206868206,0.0366057621733,0.00247711227054,0.00227736859095,0.786150920959
57.8150146838,27.1887459429,85.0037606298,0.0327806122986,0.00257467088245,0.00238993054345,0.775066988809
60.6472232135,26.4552669931,87.1024902065,0.0343992115323,0.00261997041248,0.0024631364005,0.785228059405
63.2965991235,26.9523648318,90.2489639565,0.035234423227,0.00255498431978,0.00235167003813,0.764781452361
66.5028838603,27.3039501418,93.8068340009,0.0363395843709,0.00253719375247,0.00229505697886,0.777003515334
62.1721556669,27.5398517865,89.7120074566,0.0340227551302,0.00234530085609,0.00220505964188,0.785065140043
55.9132674388,26.738211636,82.6514790736,0.0336974604574,0.00252934864589,0.00228441329229,0.78393086933
60.5915175006,25.7883985382,86.3799160355,0.0305745733184,0.0026497613816,0.00245507558187,0.780405544099
62.971030186,25.8471279881,88.8181581746,0.0319907278551,0.00252042497907,0.00236641793024,0.785680487042
64.529880797,26.3987077258,90.9285885273,0.032730988037,0.00266289710999,0.00241112141382,0.770041011629
65.9654710365,26.8268256345,92.7922966698,0.0333920728701,0.00248216447376,0.00224841208685,0.798965874172
65.5756881384,27.0335412278,92.6092293662,0.0329073708952,0.00260588100978,0.00241585004897,0.773869071688
65.2660978798,26.8758152452,92.1419131276,0.0318531516374,0.00254081544422,0.00231382392702,0.762079670316
66.8262502852,26.8175044898,93.6437547768,0.0316542721739,0.00241424923851,0.00229014101483,0.771062828246
68.4372530345,27.1637520542,95.6010050874,0.0331536427456,0.0025589466095,0.00236204124632,0.784300281888
71.6563736516,27.7025569528,99.3589306011,0.0361856553481,0.00258264087495,0.00242176510039,0.779596771513
68.3524623553,28.0199420293,96.3724043809,0.0340442912018,0.00258218674433,0.0023014772506,0.760873215539
71.5580264304,27.6937578733,99.2517843006,0.0347254617515,0.00248478707813,0.00228878997621,0.764331806274
73.8889232381,28.0698025847,101.958725819,0.0369977239315,0.00259491375514,0.00244471572694,0.777399574007
73.3509834525,28.5423763439,101.893359797,0.0368633282699,0.00250987779526,0.00228536696661,0.784356628145
70.9682596013,28.3977860433,99.3660456415,0.0353473635932,0.00265684581938,0.00244179226103,0.763578744162
