Average ELBO, SEM, Encoding Time, Decoding Time, Backward Time 
-32.0779367805,0.283814100147,0.00388693809509,0.00370478630066,0
-1.84911333578,0.0122252190686,0.00566411018372,0.00600385665894,0
-1.28490923815,0.0140589126594,0.00424194335938,0.00376892089844,0
-1.43210160429,0.0191317381101,0.00370001792908,0.00365400314331,0
-1.04089321074,0.0149523672144,0.00750994682312,0.00406193733215,0
-1.03195059454,0.0137172674954,0.00440001487732,0.00408411026001,0
-0.912273761606,0.0140554998356,0.00373697280884,0.00435709953308,0
-1.10562768834,0.0161765081704,0.00477194786072,0.00421905517578,0
-0.934768940043,0.0149996189899,0.0037260055542,0.00368404388428,0
-0.827848600721,0.0147251689242,0.00363516807556,0.0035719871521,0
-0.84541266675,0.0275905722839,0.00431704521179,0.00428295135498,0
-0.841133177114,0.0224395517721,0.00397706031799,0.00388288497925,0
-0.886509629345,0.012428900978,0.00395703315735,0.00362992286682,0
-0.746257654285,0.0130210906362,0.00454711914062,0.00361704826355,0
-0.79300341537,0.0167004269989,0.00270795822144,0.00417804718018,0
-0.836814387655,0.0138617823274,0.00444102287292,0.00270795822144,0
-0.731484433913,0.0122801169645,0.00426602363586,0.0025680065155,0
-0.776323893523,0.0176793658755,0.00390100479126,0.0044629573822,0
-1.07075078084,0.0208614229624,0.00653696060181,0.00599002838135,0
-0.852148113179,0.013814396657,0.00377297401428,0.00380396842957,0
-0.70398218832,0.021396948475,0.00372290611267,0.00363492965698,0
-0.711076763344,0.0120582831842,0.00393390655518,0.00364184379578,0
-0.719493232989,0.0134442224761,0.00504493713379,0.00443696975708,0
-0.746556920552,0.0125732864125,0.00367593765259,0.00363492965698,0
-0.758689057446,0.0194058746533,0.00263404846191,0.00377297401428,0
-0.692565915608,0.0166660844454,0.00372982025146,0.00416898727417,0
-0.768118936348,0.015578282931,0.0036928653717,0.00362515449524,0
-0.698666419315,0.0198442405013,0.00364518165588,0.00392079353333,0
